N,P,K,temperature,humidity,ph,rainfall,label
38,135,203,23.76121837,93.661643,5.9655513110000005,100.825956,apple
31,137,196,22.14464104,93.82567435,6.400321212000001,120.6310784,apple
26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,apple
35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,apple
35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,apple
6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,apple
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
10,140,197,22.16939473,90.27185592,6.229498836,124.4683112,apple
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
14,139,197,21.72484506,92.83975602,6.056529526,121.6961761,apple
89,91,55,25.08347445,80.26173100000003,6.275572297999999,94.32961456,banana
93,81,50,27.71822477,76.57853189,6.0360792660000016,102.2099836,banana
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana
92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,banana
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram
34,60,16,31.35730791,64.24992106,7.322555222999999,63.85668948,blackgram
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram
55,66,22,30.91219459,68.79427388,7.747775262999999,66.63830637,blackgram
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,chickpea
51,72,75,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea
27,79,82,17.06579293,17.54024066,6.307004922999999,70.87150577,chickpea
23,6,33,29.18032562,92.73041222,6.025789594,204.9603677,coconut
0,19,33,27.1326009,95.23797989,6.234458417000001,204.7206567,coconut
23,7,34,26.1055118,91.52421214,5.852038202,134.1279669,coconut
24,27,34,28.87862994,95.11320315,6.203376525,145.0583117,coconut
26,9,32,25.9490364,94.73860514,6.470465614,144.15711090000005,coconut
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut
38,6,25,25.54963273,96.92786777,6.156259104,191.2996157,coconut
27,30,31,28.98545306,90.73966792,5.718120393,148.8398374,coconut
32,11,31,29.51611558,92.56492864,6.461225827000001,131.2116167,coconut
14,23,25,26.18552389,96.96637916,5.6121227970000005,135.4186222,coconut
107,34,32,26.77463708,66.4132686,6.78006386,177.7745075,coffee
82,29,35,26.67377159,52.24226285,6.246872394,156.15438980000005,coffee
114,27,28,24.99451759,57.93250202,7.162802357,192.8736822,coffee
114,20,26,25.55656667,62.67087838,7.27905689,193.5866233,coffee
101,31,26,26.70897548,69.71184111,6.861235184,158.86088869999998,coffee
107,21,26,26.45288458,55.32222678,7.235070264,144.68613359999995,coffee
118,31,34,27.54823036,62.88179198,6.123796057000001,181.4170812,coffee
117,37,32,23.1069385,67.06230539,6.787658922,162.57696059999995,coffee
103,33,25,27.10210397,55.74973320000001,6.911066044,139.5013171,coffee
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,coffee
134,52,18,23.9643129,76.59175937,7.994679507000001,76.13090645,cotton
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,cotton
125,60,17,24.14386157,84.51591287,6.785723961,80.36146974,cotton
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,cotton
100,41,22,22.4204752,84.55794703,7.318802162000001,93.46595573,cotton
125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,cotton
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,cotton
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton
112,49,25,25.68959532,77.90621048,6.470135478,66.19426787,cotton
115,48,16,25.54359718,84.09229796,7.175934962,88.94245493,cotton
22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,grapes
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,grapes
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
19,120,195,18.73932187,81.12109244,5.931538447,73.55807954,grapes
0,137,195,22.4359017,80.18612085,6.329499832000001,65.3973168,grapes
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,grapes
40,132,202,24.57558351,80.70695797,5.9718130060000005,69.706113,grapes
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes
89,52,45,24.89326318,77.01222585,7.207457207999999,196.469984,jute
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,jute
84,40,42,26.2830571,73.35763537,6.704273839,186.6898282,jute
82,35,35,25.49386782,86.97061481,7.299076163,176.5268267,jute
76,54,45,24.29496635,77.62976013,6.176618831,184.9800516,jute
74,46,45,25.75734909,88.36668522,6.025028997000001,189.4263485,jute
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,jute
67,46,44,26.82489244,78.20392774,7.093328631,153.91998069999997,jute
67,43,38,25.21622704,70.88259632,7.299304715,195.8645552,jute
84,37,42,25.49674786,81.13449097,6.691074249,169.92882340000003,jute
9,80,19,21.80619564,18.57086554,5.945465949,125.0972687,kidneybeans
31,75,18,15.46789263,21.43780702,5.824208308999999,88.88796102,kidneybeans
21,63,17,15.77370214,19.2303162,5.979973965,108.3441414,kidneybeans
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,kidneybeans
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans
37,72,18,18.87614998,24.54038287,5.724242065,105.4120514,kidneybeans
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,kidneybeans
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans
19,78,16,20.65375833,23.10538637,5.967533236,67.71768947,kidneybeans
26,63,17,29.87854588,65.73085206,6.950300686,44.95654782,lentil
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,lentil
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,lentil
3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,lentil
27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,lentil
3,63,16,24.38041875,61.18458224,6.868881707999999,53.13946695,lentil
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil
7,63,24,19.55750776,64.45268309,6.818681086000002,53.04669416,lentil
22,67,22,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
28,23,28,30.01821337,50.09831810000001,5.676032581,96.08745082,mango
34,38,31,35.37775595,45.58110023,6.454045329,97.41586402,mango
19,38,26,31.48451729,48.77926304,4.525722333,93.17221967,mango
11,36,31,27.92063282,51.77965917,6.47544932,100.2585673,mango
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
20,19,35,34.17719782,50.62161586,6.113935087000001,98.00687989,mango
37,36,27,27.552973600000005,47.90859131,5.910634533,90.40332704,mango
21,31,32,35.38598705,51.42664176,5.254532213,90.29643888,mango
3,18,31,31.65333432,48.20662669,6.392313972999999,91.09745581,mango
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,mango
36,44,21,25.12528913,51.33189406,4.516154055,38.48678973,mothbeans
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,mothbeans
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,mothbeans
22,42,22,25.54249137,56.96640758,7.887658711,48.46797044,mothbeans
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,mothbeans
3,56,17,28.19912143,53.50567601,8.709291687999999,52.13580529,mothbeans
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,mothbeans
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,mothbeans
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,mothbeans
6,47,18,29.16174608,80.28038146,6.715276662999999,40.16545979,mungbean
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,mungbean
22,37,20,27.62749466,86.49366929,6.605733067999999,39.26137642,mungbean
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,mungbean
31,51,25,27.53592929,85.57019009999998,7.196774236,53.01899249,mungbean
37,49,25,29.914544300000006,85.85384444,6.415459592,41.39081525,mungbean
111,5,52,29.8843055,94.0371147,6.135996372,21.0000988,muskmelon
106,10,49,27.72653142,92.00687531,6.350623739,20.21126747,muskmelon
90,15,52,27.04927452,91.3821731,6.448061578,23.65747461,muskmelon
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,muskmelon
119,5,55,29.68846716,94.30111601,6.168757984,26.83924845,muskmelon
114,30,51,29.24908541,90.06998135,6.069171847000001,25.93496537,muskmelon
104,25,51,28.96361426,93.88482153,6.469983276000002,23.56130173,muskmelon
107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,muskmelon
109,26,45,28.27973674,90.38971208,6.224535448999998,21.58992507,muskmelon
117,19,55,28.80311922,91.78336933,6.121745389,25.16359891,muskmelon
20,8,12,25.2990432,94.96419851,7.260416405,117.9733424,orange
0,25,14,19.33516809,91.97978938,6.361671475,116.450422,orange
31,25,12,18.05142392,90.03969587,7.016482298,111.7793889,orange
18,12,8,12.59093977,91.81668769,6.206053072,119.39167179999998,orange
7,16,9,18.87957654,92.04304496,7.813916602999999,114.6659511,orange
10,5,5,21.21306973,91.35349216,7.817846496,112.9834361,orange
29,25,14,30.49183837,90.4582865,7.781988584,113.3302105,orange
34,11,10,31.75048899,94.59551226,7.36220835,115.1989301,orange
40,21,8,34.90665289,92.87820148,7.418761774,102.1906333,orange
13,16,8,34.74004942,93.12316972,6.949838549,100.1967854,orange
40,65,49,35.32876402,91.06138506,6.678449317999999,163.9069365,papaya
54,65,47,27.92765919,91.55594211,6.721835879,149.91075569999995,papaya
43,50,48,28.28222883,91.37059792,6.63016515,179.27208069999998,papaya
35,67,49,41.31330062,91.1508798,6.617066674,239.7427554,papaya
34,68,51,27.34734861,94.17756725,6.687088097999999,40.35153141,papaya
32,55,51,29.60718808,93.15642801,6.57398033,62.68710535,papaya
70,65,52,30.42012134,93.12659793,6.583528529,75.95295,papaya
61,64,52,43.30204933,92.83405443,6.641098708,110.562229,papaya
38,68,54,29.33710543,90.81781439,6.739170045,202.0572747,papaya
58,67,45,38.72382798,91.72514851,6.702424548,62.62377075,papaya
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
27,71,24,31.46417866,48.17631461,7.064973419,165.40535400000005,pigeonpeas
33,61,24,20.04611791,48.93905624,4.567446499,122.4564203,pigeonpeas
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas
5,55,18,33.50876355,45.70976142,7.322097972000001,126.6738117,pigeonpeas
28,59,22,30.90607799,52.79913039,7.05181629,170.99198280000005,pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
32,70,20,20.89342749,46.24856523,6.208843215,195.5697875,pigeonpeas
6,66,15,34.93174223,30.40046769,6.3458060110000005,159.2649827,pigeonpeas
17,67,18,31.2192752,56.46868874,5.611510977000001,129.20286529999998,pigeonpeas
14,5,36,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
3,9,45,23.89162561,89.61850203,6.535244251,104.617522,pomegranate
9,8,40,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
21,23,42,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate
22,9,44,24.72235539,88.87651295,5.744361602000001,112.1926517,pomegranate
38,14,37,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate
25,27,41,19.20090378,94.27659596,6.9235093710000015,108.0423555,pomegranate
9,16,39,18.41164435,91.11927248,6.101198974,105.1834976,pomegranate
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
29,16,36,19.81069447,88.92944254,5.7403380020000006,102.860084,pomegranate
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
95,12,51,25.76484262,84.17269959999999,6.681606702000001,44.22066914,watermelon
80,16,46,25.50405534,81.40297428,6.940236218,48.47833278,watermelon
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,watermelon
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon
98,8,51,26.1793464,86.52258079,6.25933595,49.43050977,watermelon
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
88,5,47,25.86475496,86.67468041,6.662244646,41.16554802,watermelon
120,7,47,24.24782473,83.03687902,6.653867608,54.76576239999999,watermelon
105,14,50,26.2148837,87.68839820000002,6.419052193,59.65590798,watermelon
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon
